id,trial__id,struck_by,race,gender,defendant_race,strike_eligibility,cause_number,same_race,struck_state,year
8198,158,Struck by the defense,White,Female,Black,Both State and Defense,2006-0044,different race,Not struck by State,2006
8200,158,Juror chosen to serve on jury,White,Female,Black,Both State and Defense,2006-0044,different race,Not struck by State,2006
8202,158,Struck by the defense,White,Female,Black,Both State and Defense,2006-0044,different race,Not struck by State,2006
8203,158,Juror chosen to serve on jury,Black,Female,Black,Both State and Defense,2006-0044,same race,Not struck by State,2006
8204,158,Struck by the state,Black,Female,Black,State,2006-0044,same race,Struck by State,2006
8206,158,Juror chosen to serve on jury,White,Female,Black,Both State and Defense,2006-0044,different race,Not struck by State,2006
8209,158,Struck by the defense,Black,Male,Black,Both State and Defense,2006-0044,same race,Not struck by State,2006
8210,158,Struck by the defense,White,Male,Black,Both State and Defense,2006-0044,different race,Not struck by State,2006
8213,158,Juror chosen to serve on jury,White,Male,Black,Both State and Defense,2006-0044,different race,Not struck by State,2006
8215,158,Juror chosen to serve on jury,White,Female,Black,Both State and Defense,2006-0044,different race,Not struck by State,2006
8217,158,Juror chosen to serve on jury,White,Female,Black,Both State and Defense,2006-0044,different race,Not struck by State,2006
8220,158,Juror chosen to serve on jury,White,Male,Black,Both State and Defense,2006-0044,different race,Not struck by State,2006
8221,158,Juror chosen to serve on jury,White,Male,Black,Both State and Defense,2006-0044,different race,Not struck by State,2006
8223,158,Juror chosen to serve on jury,White,Female,Black,Both State and Defense,2006-0044,different race,Not struck by State,2006
8224,158,Struck by the defense,White,Female,Black,Both State and Defense,2006-0044,different race,Not struck by State,2006
8225,158,Struck by the defense,White,Male,Black,Both State and Defense,2006-0044,different race,Not struck by State,2006
8226,158,Struck by the state,Black,Male,Black,State,2006-0044,same race,Struck by State,2006
8227,158,Juror chosen to serve on jury,White,Female,Black,State,2006-0044,different race,Not struck by State,2006
8228,158,Struck by the state,Black,Female,Black,State,2006-0044,same race,Struck by State,2006
8229,158,Juror chosen to serve on jury,White,Male,Black,State,2006-0044,different race,Not struck by State,2006
8230,158,Struck by the state,Black,Female,Black,State,2006-0044,same race,Struck by State,2006
8231,158,Struck by the defense,White,Female,Black,Both State and Defense,2006-0044,different race,Not struck by State,2006
107,3,Struck by the defense,White,Male,Black,Both State and Defense,2004-0257,different race,Not struck by State,2004
108,3,Struck by the state,Black,Female,Black,State,2004-0257,same race,Struck by State,2004
109,3,Juror chosen to serve on jury,Black,Female,Black,Both State and Defense,2004-0257,same race,Not struck by State,2004
110,3,Juror chosen to serve on jury,Black,Female,Black,Both State and Defense,2004-0257,same race,Not struck by State,2004
111,3,Struck by the state,White,Male,Black,State,2004-0257,different race,Struck by State,2004
112,3,Struck by the state,Black,Female,Black,State,2004-0257,same race,Struck by State,2004
113,3,Struck by the state,Black,Male,Black,State,2004-0257,same race,Struck by State,2004
114,3,Struck by the defense,White,Male,Black,Both State and Defense,2004-0257,different race,Not struck by State,2004
115,3,Struck by the defense,Black,Male,Black,Both State and Defense,2004-0257,same race,Not struck by State,2004
116,3,Struck by the defense,White,Female,Black,Both State and Defense,2004-0257,different race,Not struck by State,2004
117,3,Juror chosen to serve on jury,White,Female,Black,Both State and Defense,2004-0257,different race,Not struck by State,2004
118,3,Juror chosen to serve on jury,Black,Male,Black,Both State and Defense,2004-0257,same race,Not struck by State,2004
1,1,Juror chosen to serve on jury,White,Female,Black,Both State and Defense,1993-9826,different race,Not struck by State,1993
4,1,Juror chosen to serve on jury,White,Female,Black,Both State and Defense,1993-9826,different race,Not struck by State,1993
6,1,Juror chosen to serve on jury,White,Male,Black,Both State and Defense,1993-9826,different race,Not struck by State,1993
7,1,Juror chosen to serve on jury,Black,Female,Black,Both State and Defense,1993-9826,same race,Not struck by State,1993
9,1,Struck by the defense,White,Female,Black,Both State and Defense,1993-9826,different race,Not struck by State,1993
11,1,Juror chosen to serve on jury,White,Male,Black,Both State and Defense,1993-9826,different race,Not struck by State,1993
13,1,Struck by the defense,White,Female,Black,Both State and Defense,1993-9826,different race,Not struck by State,1993
14,1,Struck by the state,Black,Female,Black,State,1993-9826,same race,Struck by State,1993
15,1,Struck by the defense,White,Female,Black,Both State and Defense,1993-9826,different race,Not struck by State,1993
16,1,Juror chosen to serve on jury,White,Female,Black,Both State and Defense,1993-9826,different race,Not struck by State,1993
17,1,Juror chosen to serve on jury,Black,Female,Black,Both State and Defense,1993-9826,same race,Not struck by State,1993
19,1,Juror chosen to serve on jury,White,Female,Black,Both State and Defense,1993-9826,different race,Not struck by State,1993
20,1,Juror chosen to serve on jury,Black,Female,Black,Both State and Defense,1993-9826,same race,Not struck by State,1993
21,1,Juror chosen to serve on jury,White,Female,Black,Both State and Defense,1993-9826,different race,Not struck by State,1993
